,ENGAGED_df6,prob,prob_d
79380,0,0.19675701602866616,0
37247,0,0.06680117315138542,0
79452,0,0.10897023034610898,0
42583,0,0.05993566956086616,0
74350,0,0.15499571233872445,0
40539,0,0.09157429908681924,0
29733,0,0.44464111003289447,1
66015,1,0.710095436132907,1
44332,0,0.07749573202589885,0
72919,0,0.07765065956008127,0
8635,0,0.08477586675434988,0
65756,0,0.10956461621843869,0
52485,0,0.20280844666681064,0
65928,0,0.1630731066936939,0
5684,0,0.08253695021113815,0
66090,1,0.1708248628336288,0
70275,1,0.11349895590714398,0
45983,0,0.10354192565056415,0
44051,0,0.13151993647966376,0
7776,1,0.3819878731688284,1
44529,0,0.11212935311917148,0
59900,0,0.05949526791962138,0
50133,0,0.19909975264462149,0
79167,1,0.14670495955839152,0
56837,0,0.0646787729556689,0
61355,0,0.08273715174175662,0
41223,0,0.10473498309563961,0
51490,1,0.831963110620267,1
36808,0,0.07706340805372901,0
1040,0,0.19730027461551167,0
739,0,0.1216046931645496,0
56660,0,0.10844642040606597,0
62604,0,0.08357402894704757,0
55975,0,0.0764848149807926,0
8126,0,0.17310961095291375,0
29377,1,0.18027648996741774,0
26329,0,0.1023170841080407,0
30032,0,0.10158638322859097,0
82300,0,0.1266169737768543,0
34674,0,0.10301427408799681,0
12072,0,0.1715259488778665,0
82266,0,0.11411134399205546,0
46229,1,0.9971063692443245,1
5087,0,0.15525626996487485,0
48772,1,0.999845130740931,1
64630,0,0.07992802672540147,0
4726,0,0.9431156319998496,1
17545,0,0.11671415882273828,0
30540,0,0.22760377843787521,0
45373,0,0.07145045325710239,0
8789,0,0.1298119887411416,0
24196,0,0.22654101116301262,0
47959,0,0.12398883245779448,0
9134,0,0.062008165272601744,0
71969,0,0.05945629335521392,0
34180,1,0.0796170713512554,0
52321,0,0.05945233267958195,0
2186,1,0.5190423306673198,1
49156,1,0.3139944450656466,1
43511,0,0.0988929755769006,0
72,0,0.09672961135459365,0
58009,0,0.06759836819911984,0
64866,0,0.07965207961223038,0
14196,0,0.06224507294876945,0
9955,0,0.12210443521244595,0
51598,0,0.14049370678670098,0
22321,0,0.06057988841337671,0
5689,0,0.13475494029343393,0
16217,1,0.12433646345870861,0
61843,0,0.11231573287177557,0
45063,0,0.05964013334610879,0
72468,0,0.21251835033478667,0
29007,0,0.17623158684597684,0
22977,0,0.15133568465324443,0
21773,1,0.12290218806302834,0
72508,1,0.15014463366066894,0
15356,0,0.10900151549093903,0
39088,1,0.13798698255589606,0
27004,0,0.0912395513503896,0
13256,0,0.10138550267099562,0
77811,0,0.08754048408062541,0
8632,0,0.16112017879419133,0
19857,0,0.1544612653466591,0
63693,0,0.088155231791258,0
56363,0,0.1279136521084565,0
40132,0,0.18256370446993386,0
3116,0,0.07847394223228552,0
74384,0,0.16012379905888832,0
43477,0,0.10177654871280062,0
70592,0,0.20256655142461713,0
23583,0,0.17953525806603196,0
55381,0,0.08857856288593763,0
52240,0,0.1374287171844779,0
72675,0,0.24177049319371155,0
71099,0,0.06240707832650384,0
49652,0,0.11796615153584353,0
38063,0,0.15787916590440473,0
62897,0,0.09686550088849422,0
18118,0,0.02227371339883252,0
6222,0,0.9109917605209834,1
14578,0,0.16986285015641844,0
66379,0,0.1611748283695571,0
30795,0,0.11081873642604365,0
15173,0,0.08756527734837258,0
20626,1,0.6982607046988348,1
58607,0,0.10450291303225379,0
13663,0,0.12042886046942357,0
11838,0,0.1441087934800031,0
67969,0,0.08596998567315972,0
46426,0,0.15239854437980216,0
67435,0,0.11602183571067755,0
55075,1,0.07844072234430882,0
81676,0,0.09084223378733627,0
64050,1,0.2785006846045452,1
61180,0,0.08387704478768834,0
52174,0,0.17119799174385705,0
23404,1,0.9260769440375786,1
13123,0,0.08918201985565719,0
60741,0,0.06314538673177657,0
59155,0,0.13384521190190443,0
47717,0,0.09388072450123536,0
55393,1,0.9350169821419783,1
34478,0,0.16806248566538964,0
74831,0,0.10587818233483896,0
28900,1,0.09172074326124778,0
59858,0,0.4095771920518937,1
18746,0,0.13085895501961134,0
50569,1,0.806861651535601,1
67046,0,0.09043205515701648,0
73049,0,0.12787462140930825,0
77121,0,0.2006605436405515,0
3076,0,0.06750124744521664,0
61763,0,0.8171323633886239,1
35513,1,0.4839890647723419,1
48507,0,0.11345678903667401,0
26491,0,0.11842394565050156,0
75329,0,0.09560459902449515,0
24543,0,0.1701275666435774,0
76189,1,0.1776752329521193,0
62113,0,0.1597620353230814,0
35758,0,0.10603897094874574,0
34586,0,0.46373323235153396,1
52599,0,0.1362516947625138,0
63842,1,0.0975509639265193,0
31854,0,0.17177229746858128,0
64039,0,0.09274144858355238,0
80668,0,0.0884816782734637,0
70365,0,0.15436618363431154,0
5775,0,0.08484677374436289,0
57564,0,0.1932709932878308,0
24696,1,0.12910373727633767,0
69445,1,0.1207188730664954,0
8973,0,0.14870790053731525,0
57841,0,0.19725602077783003,0
14520,0,0.10087286883754869,0
60778,0,0.14671298135831798,0
82030,1,0.7895632213785619,1
28403,0,0.09105673925802905,0
75641,0,0.08885285915402587,0
8525,0,0.07511158819335632,0
4578,0,0.1154493673663954,0
20289,0,0.17841875372097893,0
67498,0,0.7983792809816599,1
36804,0,0.1277112059900749,0
74648,0,0.1604374313651672,0
59032,1,0.19034639224338976,0
80643,1,0.09699732636604917,0
41885,0,0.09930420845565656,0
45739,0,0.07935195043445267,0
76369,0,0.10448605364220602,0
32640,1,0.9152066496064988,1
23453,0,0.11324718016252974,0
47070,0,0.08905399973759322,0
18875,0,0.12623307214337898,0
1580,0,0.13765102414363908,0
61256,0,0.1066802847886679,0
21899,0,0.10491147947832592,0
32514,0,0.1263838010194429,0
66906,0,0.17259950057695544,0
39802,0,0.17590306623298127,0
142,0,0.06824026673977383,0
44628,0,0.12006229942458849,0
37759,0,0.08759060561836648,0
76512,0,0.056100504829581885,0
8729,0,0.13603597880527124,0
45326,0,0.07872485966578398,0
31497,0,0.09161782337009926,0
52097,0,0.1406924582281277,0
31888,1,0.9487401071816184,1
7051,0,0.0760965024100603,0
5624,1,0.2870121319789391,1
44580,0,0.12093067213135686,0
63318,0,0.06494330735817694,0
77247,0,0.09796718749250384,0
60059,0,0.1527970753030629,0
80375,1,0.08843642973059665,0
24644,0,0.14052474597207779,0
79244,0,0.054009698209755395,0
59748,0,0.13576962738162268,0
55788,0,0.16979858389674543,0
18200,0,0.15575226905436085,0
24437,0,0.06491153860158064,0
16632,0,0.07970100357220847,0
34640,0,0.14199045842951769,0
46079,0,0.12539320401467086,0
58169,1,0.22030951367989926,0
22173,1,0.9968310817250761,1
17827,0,0.1322477578595202,0
44314,0,0.14934027524818022,0
66516,0,0.09732442920056351,0
34643,1,0.06167978187069308,0
77870,0,0.20423660988303646,0
43244,0,0.0916111468396287,0
19475,0,0.16574283302125872,0
17077,0,0.10499465568322937,0
70762,0,0.11139211384780832,0
50486,0,0.19146310365008176,0
24253,0,0.13285230817778407,0
33103,0,0.19932487140451788,0
47252,0,0.20387356815484564,0
13719,1,0.22329591725723807,0
14042,0,0.05943194446689793,0
78646,1,0.6830896195027989,1
66902,0,0.15657784333377642,0
75103,1,0.932031108791831,1
35628,0,0.08704729093094643,0
54855,1,0.9342308064419348,1
31460,0,0.10315379860341106,0
27975,0,0.09402094558769473,0
